Date -Sampled-,Sample Site,Percent Composition,Density -code-,RA Index,Latitude,Longitude
8/12/18,Pacifica Pier,60,A,0.4,37.63,-122.5
8/5/18,Pacifica Pier,15.5,C,0.05,37.63,-122.5
8/9/18,Trinidad Pier,12,C,0.53,41.06,-124.15
8/6/18,"Humboldt Bay, Indian Is. Ch.",10,C,0.14,40.81,-124.16
8/13/18,"Humboldt Bay, Indian Is. Ch.",8,P,0.05,40.81,-124.16
8/2/18,Imperial Beach Pier,5,P,0,32.58,-117.14
8/12/18,"Long Beach, Belmont Pier",3.5,P,0,33.76,-118.15
8/1/18,Goleta Pier,2,P,0,34.41,-119.83
8/12/18,Cayucos Pier,2,P,0.08,35.45,-120.91
8/5/18,Cayucos Pier,1,P,0.01,35.45,-120.91
8/7/18,San Simeon Pier,1,P,0.01,35.64,-121.19
8/8/18,"Santa Cruz, Seacliff Pier",1,P,0.02,36.97,-121.91
8/12/18,"Santa Cruz, Capitola Pier",1,P,0,36.97,-121.95
8/1/18,"Palos Verdes, OFFSHORE",0.5,R,0,33.72,-118.35
8/6/18,"Morro Bay, Boat Launch",0.5,R,0.01,35.36,-120.85
8/6/18,Bolinas Lagoon,0.5,R,0.01,37.91,-122.68
8/6/18,"La Jolla, Scripps Pier",0.5,R,0,32.87,-117.26
8/8/18,"Monterey, Stillwater Cove",0.5,R,0.01,36.57,-121.94
8/8/18,Santa Cruz Pier,0.5,R,0,36.96,-122.02
8/9/18,"Port San Luis, Diablo Cove",0.5,R,0.02,35.14,-120.82
8/9/18,"Santa Monica Bay, A2",0.5,R,0,33.94,-118.58
8/10/18,Bolsa Chica,0.5,R,0,33.68,-118.03
8/10/18,Hermosa Beach Pier,0.5,R,0.01,33.861273,-118.405292
8/12/18,"Tomales Bay, Lease #M430-15",0.5,R,0,38.22,-122.94
8/14/18,"Ventura, Port Hueneme Pier",0.5,R,0,34.14,-119.2
8/5/18,"Tomales Bay, Lease #M430-15",0.2,R,0.01,38.22,-122.94
8/5/18,"Tomales Bay, HIOC Cove",0.2,R,0.01,38.16,-122.9
8/6/18,"Bodega Harbor, USCG Dock",0.2,R,0,38.31,-123.05
8/1/18,"Ventura, Anacapa Is., East",0,R,0,34.02,-119.36
8/1/18,"Drakes Bay, Chimney Rock LBS",0,X,0,37.99,-122.97
8/1/18,"Monterey, Granite Canyon",0,X,0,36.47,-121.93
8/1/18,Bean Hollow State Beach,0,X,0,37.22,-122.41
8/1/18,Pillar Point Harbor,0,X,0,37.5,-122.49
8/1/18,"San Francisco, Pier 15",0,X,0,37.8,-122.4
8/1/18,Santa Cruz Pier,0,X,0,36.96,-122.02
8/2/18,Ventura Pier,0,X,0,34.27,-119.29
8/2/18,"Newport Bay, Back Bay",0,X,0,33.62,-117.89
8/3/18,Bolsa Chica,0,X,0,33.68,-118.03
8/5/18,"Tomales Bay, Lease #M430-12",0,X,0,38.13,-122.87
8/5/18,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
8/7/18,Pismo Pier,0,X,0,35.14,-120.65
8/7/18,"Santa Monica Bay, 3901",0,X,0,34.03,-118.72
8/7/18,"Humboldt Bay, WQ #21",0,X,0,40.85,-124.14
8/7/18,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
8/8/18,Goleta Pier,0,X,0,34.41,-119.83
8/9/18,"Newport Bay, Back Bay",0,X,0,33.62,-117.89
8/9/18,Ano Nuevo Beach,0,X,0,37.11,-122.33
8/9/18,Ventura Pier,0,X,0,34.27,-119.29
8/9/18,Point Arena Pier,0,X,0,38.91,-123.71
8/10/18,San Diego Bay,0,X,0,32.68,-117.23
8/11/18,"San Francisco, Presidio Pier",0,X,0,37.81,-122.47
8/13/18,"Morro Bay, Boat Launch",0,X,0,35.36,-120.85
8/14/18,Imperial Beach Pier,0,X,0,32.58,-117.14